slug,cluster
airbnb,0
airtable,0
apple,0
bmw,0
cal,0
claude,0
clay,0
clickhouse,0
cohere,0
coinbase,0
composio,0
cursor,0
elevenlabs,0
expo,0
figma,0
framer,0
hashicorp,0
ibm,0
intercom,0
kraken,0
linear,0
lovable,0
minimax,0
mintlify,0
miro,0
mistral.ai,0
mongodb,0
notion,0
nvidia,0
ollama,0
opencode.ai,0
pinterest,0
posthog,0
raycast,0
replicate,0
resend,0
revolut,0
runwayml,0
sanity,0
sentry,0
spacex,0
spotify,1
stripe,0
supabase,0
superhuman,0
together.ai,0
uber,0
vercel,0
voltagent,0
warp,0
webflow,0
wise,0
x.ai,0
zapier,0
